company,clause_id,text,Arbitration,Choice of Law,Content Removal,Jurisdiction,Law,Limitation of Liability,Termination,Unilateral Change,is_unfair
9gag,9gag_1,* accepting the terms of service,0,0,0,0,0,0,0,0,0
9gag,9gag_2,"the purpose of this website , 9gag .",0,0,0,0,0,0,0,0,0
9gag,9gag_3,"com -lrb- the `` site '' -rrb- , owned and operated by 9gag , inc , is to provide web publishing services .",0,0,0,0,0,0,0,0,0
9gag,9gag_4,"please read these terms of service -lrb- `` agreement '' -rrb- carefully before using the site or any services provided on the site -lrb- collectively , `` services '' -rrb- .",0,0,0,0,0,0,0,0,0
9gag,9gag_5,"by using or accessing the services , you agree to become bound by all the terms and conditions of this agreement .",0,0,0,0,0,0,0,1,1
9gag,9gag_6,"if you do not agree to all the terms and conditions of this agreement , do not use the services .",0,0,0,0,0,0,0,0,0
9gag,9gag_7,the services are accessed by you -lrb- `` subscriber '' or `` you '' -rrb- under the following terms and conditions :,0,0,0,0,0,0,0,0,0
9gag,9gag_8,"subject to the terms and conditions of this agreement , 9gag , inc may offer to provide the services , as described more fully on the site , and which are selected by subscriber , solely for subscriber 's own use , and not for the use or benefit of any third party .",0,0,0,0,0,0,0,0,0
9gag,9gag_9,"services shall include , but not be limited to , any services 9gag , inc performs for subscriber , as well as the offering of any content -lrb- as defined below -rrb- on the site .",0,0,0,0,0,0,0,0,0
9gag,9gag_10,"9gag , inc may change , suspend or discontinue the services at any time , including the availability of any feature , database , or content .",0,1,0,0,0,0,1,0,1
9gag,9gag_11,"9gag , inc may also impose limits on certain features and services or restrict subscriber 's access to parts or all of the services without notice or liability .",0,1,0,0,0,1,1,0,1
9gag,9gag_12,"9gag , inc reserves the right , at its discretion , to modify these terms of service at any time by posting revised terms of service on the site and by providing notice via e-mail , where possible , or on the site .",0,1,0,0,0,0,0,0,1
9gag,9gag_13,subscriber shall be responsible for reviewing and becoming familiar with any such modifications .,0,1,0,0,0,0,0,0,1
9gag,9gag_14,use of the services by subscriber following such modification constitutes subscriber 's acceptance of the terms and conditions of this agreement as modified .,0,0,0,0,0,0,0,1,1
